,S. No.,Message_body,Label,cleaned
920,921,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,Spam,tri contact repli offer video phone anytim ani network min half price line rental camcord repli call
802,803,Hi.:)technical support.providing assistance to us customer through call and email:),Non-Spam,hi techn support provid assist us custom call email
624,625,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",Non-Spam,eatin lor goin back work soon e mountain deer show huh watch b liao veri nice
953,954,How much you got for cleaning,Non-Spam,much got clean
711,712,Same to u...,Non-Spam,u
443,444,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",Non-Spam,work ah den plu lor u workin oso rite den go orchard lor place go liao
277,278,Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,Spam,urgent plea call landlin cash luxuri canari island holiday await collect c sae po box xy ppm
59,60,"Its reassuring, in this crazy world.",Non-Spam,reassur thi crazi world
512,513,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,Non-Spam,train back northampton afraid stay skyve today ho ho around wednesday though fanci comedi club thi week way
815,816,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,Spam,weekli cool mob tone readi download thi week new tone includ crazi frog axel f akon lone black eye dont p info n
94,95,Yes princess! I want to please you every night. Your wish is my command...,Non-Spam,ye princess want plea everi night wish command
751,752,Ü no home work to do meh... ,Non-Spam,home work meh
482,483,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,Non-Spam,omg one thing anoth cat ha worm doe thi bad day end
153,154,Nope. I just forgot. Will show next week,Non-Spam,nope forgot show next week
139,140,If I was I wasn't paying attention,Non-Spam,wa pay attent
717,718,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,Non-Spam,either way work lt gt year old hope doesnt bother
129,130,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",Non-Spam,way make sure u get train worc foreg street shrub hill fun night x
707,708,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",Non-Spam,hey guy know breath neck get bud anyway abl get half track usf tonight
653,654,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",Spam,goal arsen henri v liverpool henri score simpl shot yard pass bergkamp give arsen goal margin min
781,782,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",Spam,urgent call landlin complimentari ibiza holiday cash await collect sae c po box sk wp ppm
216,217,Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...,Non-Spam,guai shd haf seen naughti free today go jog
775,776,Send me your resume:-),Non-Spam,send resum
452,453,Thanks. Fills me with complete calm and reassurance! ,Non-Spam,thank fill complet calm reassur
263,264,Ill be at yours in about 3 mins but look out for me,Non-Spam,ill min look
417,418,No problem with the renewal. I.ll do it right away but i dont know his details.,Non-Spam,problem renew right away dont know hi detail
15,16,Yes i have. So that's why u texted. Pshew...missing you so much,Non-Spam,ye whi u text pshew miss much
342,343,Prabha..i'm soryda..realy..frm heart i'm sory,Non-Spam,prabha soryda reali frm heart sori
389,390,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",Non-Spam,hi hope u r ok said would text u seen let gentli plea
183,184,I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,Non-Spam,gentl babi soon take lt gt inch deep insid tight pussi
426,427,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,Non-Spam,start dont stop pray good idea anyth see help guy forward link
167,168,So gd got free ice cream... I oso wan...,Non-Spam,gd got free ice cream oso wan
85,86,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,Non-Spam,also fuck famili go rhode island wherev fuck leav alon week new bong gt
184,185,I'm at work. Please call,Non-Spam,work plea call
250,251,Kothi print out marandratha.,Non-Spam,kothi print marandratha
889,890,Wewa is 130. Iriver 255. All 128 mb.,Non-Spam,wewa iriv mb
258,259,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,Non-Spam,k k go tirunelvali thi week see uncl alreadi spend amount take dress onli want money give feb
851,852,S:)8 min to go for lunch:),Non-Spam,min go lunch
53,54,Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,Non-Spam,mile smile r made frm letter u know differ smile ur face keep happi even though mile away u keep smile good nyt
642,643,We can go 4 e normal pilates after our intro...  ,Non-Spam,go e normal pilat intro
738,739,Lol no. Just trying to make your day a little more interesting,Non-Spam,lol tri make day littl interest
596,597,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,Non-Spam,suppo meet discuss abt trip thought xuhui told afternoon thought go lesson
192,193,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",Spam,free entri gr prize wkli comp chanc win latest nokia psp cash everi wk txt great http www gr prize com
713,714,I'm fine. Hope you are also,Non-Spam,fine hope also
288,289,"And how you will do that, princess? :)",Non-Spam,princess
386,387,I sent them. Do you like?,Non-Spam,sent like
625,626,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,Non-Spam,omg make wed chapel frontiervil whi get good stuff
667,668,"Haha, that was the first person I was gonna ask",Non-Spam,haha wa first person wa gonna ask
96,97,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,Non-Spam,mummi boy good bad posit neg whi mummi made wait hmmmm
668,669,Oh for fuck's sake she's in like tallahassee,Non-Spam,oh fuck sake like tallahass
540,541,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,Spam,ur cash bal current pound maxim ur cash send go onli p meg cc hg suit land row w j hl
220,221,I'm home...,Non-Spam,home
544,545,Yes its possible but dint try. Pls dont tell to any one k,Non-Spam,ye possibl dint tri pl dont tell ani one k
28,29,Armand says get your ass over to epsilon,Non-Spam,armand say get ass epsilon
375,376,"It's wylie, you in tampa or sarasota?",Non-Spam,wyli tampa sarasota
567,568,"Hmph. Go head, big baller.",Non-Spam,hmph go head big baller
180,181,Nt joking seriously i told,Non-Spam,nt joke seriou told
937,938,Only saturday and sunday holiday so its very difficult:),Non-Spam,onli saturday sunday holiday veri difficult
315,316,I didnt get anything da,Non-Spam,didnt get anyth da
810,811,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,Non-Spam,make life stressful alway find time laugh may add year life sure add life ur year gud ni swt dream
407,408,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,Non-Spam,lol need cash nitro hurri come befor crash
135,136,I'm wif him now buying tix lar...,Non-Spam,wif buy tix lar
46,47,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,Spam,award sipix digit camera call landlin deliveri within day cs box bp yr warranti ppm p p
211,212,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,Non-Spam,hmm shall bring bottl wine keep us amus joke still bring bottl red white see tomorrow
49,50,You are a big chic. Common. Declare,Non-Spam,big chic common declar
160,161,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",Non-Spam,daddi shu shu look u u wan tell u r singapor wat
718,719,S.this will increase the chance of winning.,Non-Spam,thi increa chanc win
303,304,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,Non-Spam,hi darlin kate u doin somethin tonight im go pub call swan someth parent one drink phone u
784,785,"Call me, i am senthil from hsbc.",Non-Spam,call senthil hsbc
176,177,I dont know exactly could you ask chechi.,Non-Spam,dont know exactli could ask chechi
338,339,"Nope, I'm still in the market",Non-Spam,nope still market
859,860,Wif my family booking tour package.,Non-Spam,wif famili book tour packag
92,93,No probably  &lt;#&gt; %.,Non-Spam,probabl lt gt
181,182,Ok.ok ok..then..whats ur todays plan,Non-Spam,ok ok ok ur today plan
214,215,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",Non-Spam,live veri simpl love also simpl laugh simpl win tooo simpl simpl veri difficult
754,755,"fyi I'm at usf now, swing by the room whenever",Non-Spam,fyi usf swing room whenev
287,288,I have gone into get info bt dont know what to do,Non-Spam,gone get info bt dont know
384,385,I'm in town now so i'll jus take mrt down later.,Non-Spam,town ju take mrt later
5,6,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",Spam,remind get pound free call credit detail great offer pl repli thi text valid name hou postcod
891,892,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",Spam,hi babe chloe r u wa smash saturday night wa great wa weekend u miss sp visionsm com text stop stop p text
650,651,"Just dropped em off, omw back now",Non-Spam,drop em omw back
543,544,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,Non-Spam,anyway holla whenev r around becau need excu go creep peopl sarasota
805,806,It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),Non-Spam,onli ard rest ard least price bedrm
126,127,Good morning. At the repair shop--the ONLY reason i'm up at this hour.,Non-Spam,good morn repair shop th onli reason thi hour
318,319,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",Non-Spam,yeah work fine start last week stuff dull easi guy fun
396,397,"Aight, text me tonight and we'll see what's up",Non-Spam,aight text tonight see
831,832,Oh k:)after that placement there ah?,Non-Spam,oh k placement ah
43,44,"Total disappointment, when I texted you was the craziest shit got :(",Non-Spam,total disappoint text wa craziest shit got
822,823,Thinking of u ;) x,Non-Spam,think u x
560,561,ILL B DOWN SOON,Non-Spam,ill b soon
598,599,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,Non-Spam,futur plan tomorrow result today best present enjoy futur
472,473,But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,Non-Spam,realli realli broke oh amount small even lt gt
915,916,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611 ,Spam,xma reward wait comput ha randomli pick loyal mobil custom receiv reward call
890,891,Ü ready then call me...,Non-Spam,readi call
933,934,Oh wow thats gay. Will firmware update help,Non-Spam,oh wow gay firmwar updat help
469,470,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",Non-Spam,ah well confu thing doesnt thought wa friend mayb wrong thing alreadi sort invit tho may come co money
0,1,Rofl. Its true to its name,Non-Spam,rofl true name
893,894,I forgot 2 ask ü all smth.. There's a card on da present lei... How? Ü all want 2 write smth or sign on it?,Non-Spam,forgot ask smth card da present lei want write smth sign
871,872,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",Spam,urgent mobil wa award bonu caller prize thi nd attempt contact call box qu
526,527,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,Spam,natali f invit friend repli ye see www sm ac u natali k stop send stop frnd
76,77,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",Non-Spam,cool shall go see go tip anyway home got someth drop later let go town tonight mayb mum take us
848,849,My uncles in Atlanta. Wish you guys a great semester.,Non-Spam,uncl atlanta wish guy great semest
278,279,Xy trying smth now. U eat already? We havent...,Non-Spam,xy tri smth u eat alreadi havent
566,567,Well its not like you actually called someone a punto. That woulda been worse.,Non-Spam,well like actual call someon punto woulda wors
62,63,"Machan you go to gym tomorrow,  i wil come late goodnight.",Non-Spam,machan go gym tomorrow wil come late goodnight
813,814,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..,Spam,cashbin co uk get lot cash thi weekend www cashbin co uk dear welcom weekend got biggest best ever cash give away
221,222,Do I? I thought I put it back in the box,Non-Spam,thought put back box
945,946,"Received, understood n acted upon!",Non-Spam,receiv understood n act upon
750,751,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,Non-Spam,anyth valuabl onli situat first befor get second loo
137,138,You're gonna have to be way more specific than that,Non-Spam,r gonna way specif
186,187,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Im knackered and im dreading work tonight. What are thou upto tonight. X,Non-Spam,babe hope ok shit night sleep fell asleep knacker dread work tonight thou upto tonight x
833,834,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,Non-Spam,good morn dear shijutta great amp success day
81,82,Oh thanks a lot..i already bought 2 eggs ..,Non-Spam,oh thank lot alreadi bought egg
365,366,Me fine..absolutly fine,Non-Spam,fine absolutli fine
862,863,Yar but they say got some error.,Non-Spam,yar say got error
44,45,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,Spam,privat account statement show un redeem point call identifi code expir
907,908,I cant pick the phone right now. Pls send a message,Non-Spam,cant pick phone right pl send messag
539,540,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,Spam,privat account statement show un redeem point call identifi code xx expir
409,410,No but the bluray player can,Non-Spam,bluray player
333,334,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,Non-Spam,uworld site buy qbank onli buy self assess also
322,323,Gud ni8 dear..slp well..take care..swt dreams..Muah..,Non-Spam,gud ni dear slp well tak care swt dream muah
646,647,"G says you never answer your texts, confirm/deny",Non-Spam,g say never answer text confirm deni
679,680,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,Spam,today vodafon number end select receiv award number match call receiv award
941,942,I'm on the bus. Love you,Non-Spam,bu love
495,496,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.,Spam,win shop spree everi week start play text store skilgm tsc winawk age perweeksub
921,922,Are you planning to come chennai?,Non-Spam,plan come chennai
861,862,Hey anyway i have to :-),Non-Spam,hey anyway
573,574,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.",Non-Spam,hey kate hope ur ok give u buz wedlunch go outsomewh adrink town cud go watershd bit ppl fromwrk bthere love petexxx
228,229,And of course you should make a stink!,Non-Spam,cour make stink
932,933,These won't do. Have to move on to morphine,Non-Spam,move morphin
714,715,I liked your new house,Non-Spam,like new hou
541,542,I was gonna ask you lol but i think its at 7,Non-Spam,wa gonna ask lol think
812,813,Ok lor... Or u wan me go look 4 u?,Non-Spam,ok lor u wan go look u
791,792,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",Non-Spam,mani peopl seem special first sight onli veri remain special till last sight maintain till life end sh ja
663,664,I;m reaching in another 2 stops.,Non-Spam,reach anoth stop
369,370,Ugh my leg hurts. Musta overdid it on mon.,Non-Spam,ugh leg hurt musta overdid mon
918,919,We are okay. Going to sleep now. Later,Non-Spam,okay go sleep later
145,146,Otherwise had part time job na-tuition..,Non-Spam,otherwi part time job na tuition
143,144,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,Spam,santa call would littl one like call santa xma eve call book time
427,428,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,Spam,free st week nokia tone ur mobil everi week txt nokia get txting tell ur mate www getz co uk pobox w wq norm p ton
256,257,My sister going to earn more than me da.,Non-Spam,sister go earn da
309,310,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,Non-Spam,anyon call treadmil say buy make sure work found ad craigslist sell lt gt
456,457,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,Spam,decemb mobil mth entitl updat latest colour camera mobil free call mobil updat vco free
572,573,My drive can only be read. I need to write,Non-Spam,drive onli read need write
421,422,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,Spam,get garden readi summer free select summer bulb seed worth onli scotsman thi saturday stop go notxt co uk
554,555,U attend ur driving lesson how many times a wk n which day?,Non-Spam,u attend ur drive lesson mani time wk n day
768,769,Just come home. I don't want u to be miserable,Non-Spam,come home want u miser
268,269,At WHAT TIME should i come tomorrow,Non-Spam,time come tomorrow
948,949,Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,Non-Spam,nvm go wear sport shoe anyway go late leh
906,907,You call him and tell now infront of them. Call him now.,Non-Spam,call tell infront call
321,322,U come n search tat vid..not finishd..,Non-Spam,u come n search tat vid finishd
716,717,Maybe you should find something else to do instead???,Non-Spam,mayb find someth el instead
943,944,"U need my presnts always bcz U cant mis love. ""jeevithathile irulinae neekunna prakasamanu sneham"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me....",Non-Spam,u need presnt alway bcz u cant mi love jeevithathil irulina neekunna prakasamanu sneham prakasam ennal prabha mn prabha love got dont mi
551,552,I think the other two still need to get cash but we can def be ready by 9,Non-Spam,think two still need get cash def readi
302,303,Anything lar then ü not going home 4 dinner?,Non-Spam,anyth lar go home dinner
955,956,Wat time ü finish?,Non-Spam,wat time finish
726,727,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,Spam,privat account statement show un redeem point call identifi code expir
844,845,"I'm home, my love ... If your still awake ... *loving kiss*",Non-Spam,home love still awak love kiss
645,646,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",Non-Spam,common hearin r u wat r u wa ur day let ask u someth differ u smile today gud evng
613,614,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,Non-Spam,lost pound sinc doc visit last week woot woot gonna celebr stuf face
118,119,What???? Hello wats talks email address?,Non-Spam,hello wat talk email address
719,720,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,Non-Spam,escap theatr go watch kavalan minut
556,557,"By the way, 'rencontre' is to meet again. Mountains dont....",Non-Spam,way rencontr meet mountain dont
87,88,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,Non-Spam,li hai bore da lectur repeat last week stuff wast time
818,819,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,Non-Spam,beauti life next second hide thousand secret wish everi second wonder ur life gud n
593,594,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.,Non-Spam,oop wa shower u call hey park garag collap univ hospit see crazi stuff like doe happen
471,472,Sorry about that this is my mates phone and i didnt write it love Kate,Non-Spam,sorri thi mate phone didnt write love kate
619,620,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,Spam,great news call freefon claim guarant cash gift speak live oper
453,454,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",Spam,get lion england tone repli lionm mono lionp poli go www rington co uk origin n best tone gbp network oper rate appli
291,292,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,Spam,urgent mobil number ha award prize guarante call land line claim valid hr onli ppm
196,197,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,Non-Spam,u konw waht rael friendship im gving yuo exmpel jsut ese tih msg evrey splle tih msg wrnog bt sitll yuo ra wihtuot ayn mitsak goodnight amp nice sleep sweet dream
18,19,Hahaha..use your brain dear,Non-Spam,hahaha us brain dear
54,55,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",Non-Spam,ya referin mei ex wat ah waitin u treat somebodi shld b rich liao gd den u dun work frm tmr onward
36,37,Ok which your another number,Non-Spam,ok anoth number
834,835,Wat time r ü going to xin's hostel?,Non-Spam,wat time r go xin hostel
429,430,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,Non-Spam,oh shut omg yesterday dream kid boy wa piss onli kid boy even told mark dream wa chang diaper cau get owe face
219,220,No one interested. May be some business plan.,Non-Spam,one interest may busi plan
603,604,I want to see your pretty pussy...,Non-Spam,want see pretti pussi
217,218,Good morning princess! Have a great day!,Non-Spam,good morn princess great day
339,340,It means u could not keep ur words.,Non-Spam,mean u could keep ur word
31,32,Just sleeping..and surfing,Non-Spam,sleep surf
698,699,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",Non-Spam,watch cartoon listen music amp eve go templ amp church u
23,24,"No, I was trying it all weekend ;V",Non-Spam,wa tri weekend v
929,930,Oh ho. Is this the first time u use these type of words,Non-Spam,oh ho thi first time u use type word
8,9,Ard 6 like dat lor.,Non-Spam,ard like dat lor
236,237,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",Non-Spam,neither sterm voic studi fine sure thing resolv tho anyway fab hol
144,145,Oh yeah! And my diet just flew out the window,Non-Spam,oh yeah diet flew window
617,618,I am in bus on the way to calicut,Non-Spam,bu way calicut
877,878,"Didn't try, g and I decided not to head out",Non-Spam,tri g decid head
270,271,Well good morning mr . Hows london treatin' ya treacle?,Non-Spam,well good morn mr london treatin ya treacl
299,300,Did u fix the teeth?if not do it asap.ok take care.,Non-Spam,u fix teeth asap ok take care
329,330,"Gud gud..k, chikku tke care.. sleep well gud nyt",Non-Spam,gud gud k chikku tke care sleep well gud nyt
215,216,Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.,Non-Spam,aiyo co sm neva repli wait repli lar tot havent finish ur lab wat
25,26,Hi its in durban are you still on this number,Non-Spam,hi durban still thi number
350,351,I accidentally brought em home in the box,Non-Spam,accid brought em home box
464,465,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",Non-Spam,boy love gal propsd bt didnt mind gv lv lttr bt frnd threw thm boy decid aproach gal dt time truck wa speed toward gal wn wa hit girl boy ran like hell n save ask hw cn u run fast boy repli boost secret energi n instantli girl shout energi n thi live happili gthr drink boost evrydi moral stori hv free msg gud ni
522,523,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",Non-Spam,dunno dad said come home bring us lunch yup go w u lor call u reach school lor
348,349,I have to take exam with in march 3,Non-Spam,take exam march
880,881,But pls dont play in others life.,Non-Spam,pl dont play life
449,450,Lol for real. She told my dad I have cancer,Non-Spam,lol real told dad cancer
863,864,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,Non-Spam,mmmmmmm snuggl deep content sigh whisper fuck love much bare stand
437,438,That sucks. I'll go over so u can do my hair. You'll do it free right?,Non-Spam,suck go u hair free right
458,459,You have 1 new message. Please call 08715205273,Spam,new messag plea call
22,23,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",Non-Spam,know wot peopl wear shirt jumper hat belt know r cribb
666,667,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",Spam,ou guarant latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd
281,282,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),Non-Spam,excel thought misundrstud frnd knw u hate bt day wen u knw truth u hate urself gn
634,635,Match started.india  &lt;#&gt;  for 2,Non-Spam,match start india lt gt
616,617,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night,Non-Spam,hi probabl much fun get thi messag thought id txt u co im bore jame ha fart night
290,291,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",Non-Spam,helloooo wake sweet morn welcom enjoy thi day full joy gud mrng
439,440,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",Non-Spam,rose red r blood blood heart heart u u send ti ur friend includ u like u get back u r poor relat u need support u r frnd mani luv u pray god marri u tri
276,277,I donno its in your genes or something,Non-Spam,donno gene someth
531,532,How many times i told in the stage all use to laugh. You not listen aha.,Non-Spam,mani time told stage use laugh listen aha
576,577,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,Spam,phoni award today voda number end xxxx select receiv award match plea call quot claim code standard rate app
274,275,Alex says he's not ok with you not being ok with it,Non-Spam,alex say ok ok
643,644,Oh yah... We never cancel leh... Haha ,Non-Spam,oh yah never cancel leh haha
897,898,"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!",Non-Spam,wa born god said oh anoth idiot born god said oh competit knew one day two becom freind forev
428,429,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,Non-Spam,yeah imagin would realli gentl unlik doc treat patient like turkey
604,605,Yup ok...,Non-Spam,yup ok
626,627,Ü go home liao? Ask dad to pick me up at 6...,Non-Spam,go home liao ask dad pick
132,133,What are youdoing later? Sar xxx,Non-Spam,youdo later sar xxx
352,353,I am late. I will be there at,Non-Spam,late
